S+U Yorckstr,52.4928°N, 13.3704°E
U Gneisenaustr,52.4913°N, 13.3958°E
U Südstern,52.4893°N, 13.4077°E
U Hermannplatz,52.4866°N, 13.4245°E
U Rathaus Neukölln,52.4816 °N, 13.4343 °E
U Karl-Marx-Str,52.4765°N, 13.4392°E
S+U Neukölln,52.4695°N, 13.4421°E
U Grenzallee,52.4639°N, 13.4455°E
U Blaschkoallee,52.4527°N, 13.4490°E
U Parchimer Allee,52.4448°N, 13.4497°E
U Britz-Süd,52.4373°N, 13.4484°E
U Johannisthaler Chaussee,52.4294°N, 13.4533°E
U Lipschitzallee,52.4247°N, 13.4625°E
U Wutzkyallee,52.4257°N, 13.4740°E
U Zwickauer Damm,52.4233 °N, 13.4837 °E
U Rudow, 52.4162°N, 13.4953°E
S+U Wittenau,52.5963°N, 13.3356°E
U Rathaus Reinickendorf,52.5884°N, 13.3248°E
S+U Karl-Bonhoeffer-Nervenklinik,52.5789 °N, 13.3332 °E
U Lindauer Allee,52.5755 °N, 13.3391 °E
U Paracelsus-Bad,52.5746°N, 13.3472°E
U Residenzstr,52.5712°N, 13.3605°E
U Franz-Neumann-Platz,52.5641 °N, 13.3642 °E
U Osloer Str,52.5568°N, 13.3733°E
U Pankstr,52.5525°N, 13.3818°E
S+U Gesundbrunnen Bhf,52.548916°N, 13.388954°E
U Voltastr,52.5421°N, 13.3930°E
U Bernauer Str,52.5381 °N, 13.3962 °E
U Rosenthaler Platz,52.5297°N, 13.4014°E
U Weinmeisterstr,52.5255°N, 13.4050°E
S+U Jannowitzbrücke,52.5142°N, 13.4196°E
U Heinrich-Heine-Str,52.5109 °N, 13.4162 °E
U Moritzplatz,52.5036 °N, 13.4108 °E
U Schönleinstr,52.4933°N, 13.4217°E
U Boddinstr,52.4807°N, 13.4249°E
U Leinestr,52.4736°N, 13.4280°E
S+U Hermannstr,52.4674 °N, 13.4314 °E
S+U Rathaus Steglitz,52.4556°N, 13.3226°E
U Schloßstr,52.4612°N, 13.3248°E
U Walther-Schreiber-Platz,52.4662°N, 13.3283°E
U Friedrich-Wilhelm-Platz,52.4714 °N, 13.3282 °E
S+U Bundesplatz,52.4776 °N, 13.3291 °E
U Güntzelstr,52.4920°N, 13.3309°E
U Hansaplatz,52.5183°N, 13.3416°E
U Turmstr,52.5254°N, 13.3412°E
U Birkenstr,52.5323°N, 13.3414°E
S+U Westhafen,52.5362°N, 13.3441°E
U Amrumer Str,52.5422°N, 13.3495°E
U Nauener Platz,52.5516°N, 13.3673°E
U Brandenburger-Tor,52.5165 °N, 13.3817 °E
U Bundestag,52.5202 °N, 13.3730 °E
U Berlin-Hauptbahnof,52.5248 °N, 13.3697 °E
